state,loss_2025_rm_million,population_thousands,loss_per_capita_rm
Johor,72.1,4205.9,17.14
Kedah,36.7,2228.0,16.47
Kelantan,88.5,1907.7,46.39
Melaka,14.2,1052.5,13.49
Negeri Sembilan,16.4,1244.6,13.18
Pahang,44.1,1678.2,26.28
Perak,36.7,2574.9,14.25
Perlis,30.0,297.8,100.74
Pulau Pinang,12.3,1803.3,6.82
Sabah,58.4,3759.6,15.53
Sarawak,61.2,2529.8,24.19
Selangor,52.9,7406.8,7.14
Terengganu,89.2,1246.9,71.54
W.P. Kuala Lumpur,20.8,2074.1,10.03
W.P. Labuan,2.3,100.9,22.80
W.P. Putrajaya,1.3,120.8,10.76
